date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:39	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2015:12:42%20GMT	http://public-assets.envato-static.com/assets/market/core/index-c1b9dd80e122c92c58b74628a0ca02a1d6e949a777501fdec5243b08ac169924.css	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/assets/market/core/index-c1b9dd80e122c92c58b74628a0ca02a1d6e949a777501fdec5243b08ac169924.0.delayed	(from )
18:12:40	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2015:12:43%20GMT	http://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from )
18:12:40	197308/197308	---MCZ	200	added ('OK')	text/css	etag:W/%22424d71307a72775c960a85c050a62aee%22	https://public-assets.envato-static.com/assets/market/core/index-c1b9dd80e122c92c58b74628a0ca02a1d6e949a777501fdec5243b08ac169924.css	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/assets/market/core/index-c1b9dd80e122c92c58b74628a0ca02a1d6e949a777501fdec5243b08ac169924.css	(from )
18:12:40	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2015:12:44%20GMT	http://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from )
18:12:40	1977/1977	---MCZ	200	added ('OK')	text/css	etag:W/%22030d4617ef9e0b3990818cf5f5b1a327%22	https://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from )
18:12:40	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from )
18:12:41	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2015:12:44%20GMT	http://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from )
18:12:41	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from )
18:12:41	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2015:12:44%20GMT	http://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from )
18:12:41	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/ssadw/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from )
